item,condition,list,position_in_list,sentence,shape_top_1,shape_bottom_1,colour1_top_1,colour2_top_1,colour1_bottom_1,colour2_bottom_1,n_colour1_top_1,n_colour2_top_1,n_colour1_bottom_1,n_colour2_bottom_1,first_picture_label,second_picture_label,position_mentioned_object,zero,color1,color2,color3,color4,picture_type_A,picture_type_B,shape_top_2,shape_bottom_2,colour1_top_2,colour2_top_2,colour1_bottom_2,colour2_bottom_2,n_colour1_top_2,n_colour2_top_2,n_colour1_bottom_2,n_colour2_bottom_2,correct_card
8,2,3,41,Fewer than three  of the hearts are purple.,heart,triangle,grey,turquoise,purple,green,2,2,4,0,784,5,top,no,green,grey,purple,turquoise,4,5,better,,,,,,,,,,First
9,1,1,50,Each of the hearts is orange or grey.,heart,square,blue,grey,brown,orange,0,4,1,3,9101,9102,top,yes,blue,grey,brown,orange,1,2,heart,square,orange,blue,grey,brown,0,4,3,1,First
9,1,1,51,Fewer than three  of the squares are brown.,heart,square,blue,brown,orange,grey,0,4,2,2,9103,5,bottom,yes,blue,grey,brown,orange,3,5,better,,,,,,,,,,First
9,2,2,50,Each of the squares is grey or brown.,heart,square,orange,blue,grey,brown,0,4,3,1,9102,9101,bottom,no,blue,grey,brown,orange,2,1,heart,square,blue,grey,brown,orange,0,4,1,3,First
9,2,2,51,Fewer than three  of the hearts are orange.,heart,square,blue,brown,orange,grey,0,4,2,2,9103,5,top,no,blue,grey,brown,orange,3,5,better,,,,,,,,,,First
10,1,3,50,Each of the hearts is brown or blue.,heart,square,orange,blue,grey,brown,0,4,3,1,9102,9101,top,yes,blue,grey,brown,orange,2,1,heart,square,blue,grey,brown,orange,0,4,1,3,First
10,1,3,51,Fewer than three  of the squares are orange.,heart,square,grey,orange,brown,blue,2,2,4,0,9104,5,bottom,yes,blue,grey,brown,orange,4,5,better,,,,,,,,,,First
10,2,4,50,Each of the squares is brown or orange.,heart,square,blue,grey,brown,orange,0,4,1,3,9101,9102,bottom,no,blue,grey,brown,orange,1,2,heart,square,orange,blue,grey,brown,0,4,3,1,First
10,2,4,51,Fewer than three  of the hearts are brown.,heart,square,grey,orange,brown,blue,2,2,4,0,9104,5,top,no,blue,grey,brown,orange,4,5,better,,,,,,,,,,First
11,1,2,60,Each of the hearts is orange or purple.,heart,cross,black,purple,blue,orange,0,4,1,3,11121,11122,top,yes,black,purple,blue,orange,1,2,heart,cross,orange,black,purple,blue,0,4,3,1,First
11,1,2,61,Fewer than three  of the crosses are blue.,heart,cross,black,blue,orange,purple,0,4,2,2,11123,5,bottom,yes,black,purple,blue,orange,3,5,better,,,,,,,,,,First
11,2,3,60,Each of the crosses is purple or blue.,heart,cross,orange,black,purple,blue,0,4,3,1,11122,11121,bottom,no,black,purple,blue,orange,2,1,heart,cross,black,purple,blue,orange,0,4,1,3,First
11,2,3,61,Fewer than three  of the hearts are orange.,heart,cross,black,blue,orange,purple,0,4,2,2,11123,5,top,no,black,purple,blue,orange,3,5,better,,,,,,,,,,First
12,1,4,60,Each of the hearts is blue or black.,heart,cross,orange,black,purple,blue,0,4,3,1,11122,11121,top,yes,black,purple,blue,orange,2,1,heart,cross,black,purple,blue,orange,0,4,1,3,First
12,1,4,61,Fewer than three  of the crosses are orange.,heart,cross,purple,orange,blue,black,2,2,4,0,11124,5,bottom,yes,black,purple,blue,orange,4,5,better,,,,,,,,,,First
12,2,1,60,Each of the crosses is blue or orange.,heart,cross,black,purple,blue,orange,0,4,1,3,11121,11122,bottom,no,black,purple,blue,orange,1,2,heart,cross,orange,black,purple,blue,0,4,3,1,First
12,2,1,61,Fewer than three  of the hearts are blue.,heart,cross,purple,orange,blue,black,2,2,4,0,11124,5,top,no,black,purple,blue,orange,4,5,better,,,,,,,,,,First
13,1,3,70,Each of the squares is brown or pink.,square,triangle,green,pink,yellow,brown,0,4,1,3,13141,13142,top,yes,green,pink,yellow,brown,1,2,square,triangle,brown,green,pink,yellow,0,4,3,1,First
13,1,3,71,Fewer than three  of the triangles are yellow.,square,triangle,green,yellow,brown,pink,0,4,2,2,13143,5,bottom,yes,green,pink,yellow,brown,3,5,better,,,,,,,,,,First
13,2,4,70,Each of the triangles is pink or yellow.,square,triangle,brown,green,pink,yellow,0,4,3,1,13142,13141,bottom,no,green,pink,yellow,brown,2,1,square,triangle,green,pink,yellow,brown,0,4,1,3,First
13,2,4,71,Fewer than three  of the squares are brown.,square,triangle,green,yellow,brown,pink,0,4,2,2,13143,5,top,no,green,pink,yellow,brown,3,5,better,,,,,,,,,,First
14,1,1,70,Each of the squares is yellow or green.,square,triangle,brown,green,pink,yellow,0,4,3,1,13142,13141,top,yes,green,pink,yellow,brown,2,1,square,triangle,green,pink,yellow,brown,0,4,1,3,First
14,1,1,71,Fewer than three  of the triangles are brown.,square,triangle,pink,brown,yellow,green,2,2,4,0,13144,5,bottom,yes,green,pink,yellow,brown,4,5,better,,,,,,,,,,First
14,2,2,70,Each of the triangles is yellow or brown.,square,triangle,green,pink,yellow,brown,0,4,1,3,13141,13142,bottom,no,green,pink,yellow,brown,1,2,square,triangle,brown,green,pink,yellow,0,4,3,1,First
14,2,2,71,Fewer than three  of the squares are yellow.,square,triangle,pink,brown,yellow,green,2,2,4,0,13144,5,top,no,green,pink,yellow,brown,4,5,better,,,,,,,,,,First
15,1,4,80,Each of the squares is green or purple.,square,heart,grey,purple,turquoise,green,0,4,1,3,15161,15162,top,yes,grey,purple,turquoise,green,1,2,square,heart,green,grey,purple,turquoise,0,4,3,1,First
15,1,4,81,Fewer than three  of the hearts are turquoise.,square,heart,grey,turquoise,green,purple,0,4,2,2,15163,5,bottom,yes,grey,purple,turquoise,green,3,5,better,,,,,,,,,,First
15,2,1,80,Each of the hearts is purple or turquoise.,square,heart,green,grey,purple,turquoise,0,4,3,1,15162,15161,bottom,no,grey,purple,turquoise,green,2,1,square,heart,grey,purple,turquoise,green,0,4,1,3
15,2,1,81,Fewer than three  of the squares are green.,square,heart,grey,turquoise,green,purple,0,4,2,2,15163,5,top,no,grey,purple,turquoise,green,3,5,better,,,,,,,,,,First
16,1,2,80,Each of the squares is turquoise or grey.,square,heart,green,grey,purple,turquoise,0,4,3,1,15162,15161,top,yes,grey,purple,turquoise,green,2,1,square,heart,grey,purple,turquoise,green,0,4,1,3
16,1,2,81,Fewer than three  of the hearts are green.,square,heart,purple,green,turquoise,grey,2,2,4,0,15164,5,bottom,yes,grey,purple,turquoise,green,4,5,better,,,,,,,,,,First
16,2,3,80,Each of the hearts is turquoise or green.,square,heart,grey,purple,turquoise,green,0,4,1,3,15161,15162,bottom,no,grey,purple,turquoise,green,1,2,square,heart,green,grey,purple,turquoise,0,4,3,1,First
16,2,3,81,Fewer than three  of the squares are turquoise.,square,heart,purple,green,turquoise,grey,2,2,4,0,15164,5,top,no,grey,purple,turquoise,green,4,5,better,,,,,,,,,,First
17,1,1,90,Each of the squares is blue or brown.,square,cross,grey,brown,orange,blue,0,4,1,3,17181,17182,top,yes,grey,brown,orange,blue,1,2,square,cross,blue,grey,brown,orange,0,4,3,1,First
17,1,1,91,Fewer than three  of the crosses are orange.,square,cross,grey,orange,blue,brown,0,4,2,2,17183,5,bottom,yes,grey,brown,orange,blue,3,5,better,,,,,,,,,,First
17,2,2,90,Each of the crosses is brown or orange.,square,cross,blue,grey,brown,orange,0,4,3,1,17182,17181,bottom,no,grey,brown,orange,blue,2,1,square,cross,grey,brown,orange,blue,0,4,1,3,First
17,2,2,91,Fewer than three  of the squares are blue.,square,cross,grey,orange,blue,brown,0,4,2,2,17183,5,top,no,grey,brown,orange,blue,3,5,better,,,,,,,,,,First
18,1,3,90,Each of the squares is orange or grey.,square,cross,blue,grey,brown,orange,0,4,3,1,17182,17181,top,yes,grey,brown,orange,blue,2,1,square,cross,grey,brown,orange,blue,0,4,1,3,First
18,1,3,91,Fewer than three  of the crosses are blue.,square,cross,brown,blue,orange,grey,2,2,4,0,17184,5,bottom,yes,grey,brown,orange,blue,4,5,better,,,,,,,,,,First
18,2,4,90,Each of the crosses is orange or blue.,square,cross,grey,brown,orange,blue,0,4,1,3,17181,17182,bottom,no,grey,brown,orange,blue,1,2,square,cross,blue,grey,brown,orange,0,4,3,1,First
18,2,4,91,Fewer than three  of the squares are orange.,square,cross,brown,blue,orange,grey,2,2,4,0,17184,5,top,no,grey,brown,orange,blue,4,5,better,,,,,,,,,,First
19,1,2,100,Each of the crosses is black or blue.,cross,triangle,purple,blue,orange,black,0,4,1,3,19201,19202,top,yes,purple,blue,orange,black,1,2,cross,triangle,black,purple,blue,orange,0,4,3,1,First
19,1,2,101,Fewer than three  of the triangles are orange.,cross,triangle,purple,orange,black,blue,0,4,2,2,19203,5,bottom,yes,purple,blue,orange,black,3,5,better,,,,,,,,,,First
19,2,3,100,Each of the triangles is blue or orange.,cross,triangle,black,purple,blue,orange,0,4,3,1,19202,19201,bottom,no,purple,blue,orange,black,2,1,cross,triangle,purple,blue,orange,black,0,4,1,3
19,2,3,101,Fewer than three  of the crosses are black.,cross,triangle,purple,orange,black,blue,0,4,2,2,19203,5,top,no,purple,blue,orange,black,3,5,better,,,,,,,,,,First
20,1,4,100,Each of the crosses is orange or purple.,cross,triangle,black,purple,blue,orange,0,4,3,1,19202,19201,top,yes,purple,blue,orange,black,2,1,cross,triangle,purple,blue,orange,black,0,4,1,3
20,1,4,101,Fewer than three  of the triangles are black.,cross,triangle,blue,black,orange,purple,2,2,4,0,19204,5,bottom,yes,purple,blue,orange,black,4,5,better,,,,,,,,,,First
20,2,1,100,Each of the triangles is orange or black.,cross,triangle,purple,blue,orange,black,0,4,1,3,19201,19202,bottom,no,purple,blue,orange,black,1,2,cross,triangle,black,purple,blue,orange,0,4,3,1,First
20,2,1,101,Fewer than three  of the crosses are orange.,cross,triangle,blue,black,orange,purple,2,2,4,0,19204,5,top,no,purple,blue,orange,black,4,5,better,,,,,,,,,,First
21,1,3,110,Each of the crosses is green or yellow.,cross,heart,pink,yellow,brown,green,0,4,1,3,21221,21222,top,yes,pink,yellow,brown,green,1,2,cross,heart,green,pink,yellow,brown,0,4,3,1,First
21,1,3,111,Fewer than three  of the hearts are brown.,cross,heart,pink,brown,green,yellow,0,4,2,2,21223,5,bottom,yes,pink,yellow,brown,green,3,5,better,,,,,,,,,,First
21,2,4,110,Each of the hearts is yellow or brown.,cross,heart,green,pink,yellow,brown,0,4,3,1,21222,21221,bottom,no,pink,yellow,brown,green,2,1,cross,heart,pink,yellow,brown,green,0,4,1,3,First
21,2,4,111,Fewer than three  of the crosses are green.,cross,heart,pink,brown,green,yellow,0,4,2,2,21223,5,top,no,pink,yellow,brown,green,3,5,better,,,,,,,,,,First
22,1,1,110,Each of the crosses is brown or pink.,cross,heart,green,pink,yellow,brown,0,4,3,1,21222,21221,top,yes,pink,yellow,brown,green,2,1,cross,heart,pink,yellow,brown,green,0,4,1,3,First
22,1,1,111,Fewer than three  of the hearts are green.,cross,heart,yellow,green,brown,pink,2,2,4,0,21224,5,bottom,yes,pink,yellow,brown,green,4,5,better,,,,,,,,,,First
22,2,2,110,Each of the hearts is brown or green.,cross,heart,pink,yellow,brown,green,0,4,1,3,21221,21222,bottom,no,pink,yellow,brown,green,1,2,cross,heart,green,pink,yellow,brown,0,4,3,1,First
22,2,2,111,Fewer than three  of the crosses are brown.,cross,heart,yellow,green,brown,pink,2,2,4,0,21224,5,top,no,pink,yellow,brown,green,4,5,better,,,,,,,,,,First
23,1,4,120,Each of the crosses is grey or turquoise.,cross,square,purple,turquoise,green,grey,0,4,1,3,23241,23242,top,yes,purple,turquoise,green,grey,1,2,cross,square,grey,purple,turquoise,green,0,4,3,1,First
23,1,4,121,Fewer than three  of the squares are green.,cross,square,purple,green,grey,turquoise,0,4,2,2,23243,5,bottom,yes,purple,turquoise,green,grey,3,5,better,,,,,,,,,,First
23,2,1,120,Each of the squares is turquoise or green.,cross,square,grey,purple,turquoise,green,0,4,3,1,23242,23241,bottom,no,purple,turquoise,green,grey,2,1,cross,square,purple,turquoise,green,grey,0,4,1,3,First
23,2,1,121,Fewer than three  of the crosses are grey.,cross,square,purple,green,grey,turquoise,0,4,2,2,23243,5,top,no,purple,turquoise,green,grey,3,5,better,,,,,,,,,,First
24,1,2,120,Each of the crosses is green or purple.,cross,square,grey,purple,turquoise,green,0,4,3,1,23242,23241,top,yes,purple,turquoise,green,grey,2,1,cross,square,purple,turquoise,green,grey,0,4,1,3,First
24,1,2,121,Fewer than three  of the squares are grey.,cross,square,turquoise,grey,green,purple,2,2,4,0,23244,5,bottom,yes,purple,turquoise,green,grey,4,5,better,,,,,,,,,,First
24,2,3,120,Each of the squares is green or grey.,cross,square,purple,turquoise,green,grey,0,4,1,3,23241,23242,bottom,no,purple,turquoise,green,grey,1,2,cross,square,grey,purple,turquoise,green,0,4,3,1,First
24,2,3,121,Fewer than three  of the crosses are green.,cross,square,turquoise,grey,green,purple,2,2,4,0,23244,5,top,no,purple,turquoise,green,grey,4,5,better,,,,,,,,,,First
25,1,1,130,Each of the triangles is grey or orange.,triangle,heart,brown,orange,blue,grey,0,4,1,3,25261,25262,top,yes,brown,orange,blue,grey,1,2,triangle,heart,grey,brown,orange,blue,0,4,3,1,First
25,1,1,131,Fewer than three  of the hearts are blue.,triangle,heart,brown,blue,grey,orange,0,4,2,2,25263,5,bottom,yes,brown,orange,blue,grey,3,5,better,,,,,,,,,,First
25,2,2,130,Each of the hearts is orange or blue.,triangle,heart,grey,brown,orange,blue,0,4,3,1,25262,25261,bottom,no,brown,orange,blue,grey,2,1,triangle,heart,brown,orange,blue,grey,0,4,1,3,First
25,2,2,131,Fewer than three  of the triangles are grey.,triangle,heart,brown,blue,grey,orange,0,4,2,2,25263,5,top,no,brown,orange,blue,grey,3,5,better,,,,,,,,,,First
26,1,3,130,Each of the triangles is blue or brown.,triangle,heart,grey,brown,orange,blue,0,4,3,1,25262,25261,top,yes,brown,orange,blue,grey,2,1,triangle,heart,brown,orange,blue,grey,0,4,1,3,First
26,1,3,131,Fewer than three  of the hearts are grey.,triangle,heart,orange,grey,blue,brown,2,2,4,0,25264,5,bottom,yes,brown,orange,blue,grey,4,5,better,,,,,,,,,,First
26,2,4,130,Each of the hearts is blue or grey.,triangle,heart,brown,orange,blue,grey,0,4,1,3,25261,25262,bottom,no,brown,orange,blue,grey,1,2,triangle,heart,grey,brown,orange,blue,0,4,3,1,First
26,2,4,131,Fewer than three  of the triangles are blue.,triangle,heart,orange,grey,blue,brown,2,2,4,0,25264,5,top,no,brown,orange,blue,grey,4,5,better,,,,,,,,,,First
27,1,2,140,Each of the triangles is purple or orange.,triangle,square,blue,orange,black,purple,0,4,1,3,27281,27282,top,yes,blue,orange,black,purple,1,2,triangle,square,purple,blue,orange,black,0,4,3,1,First
27,1,2,141,Fewer than three  of the squares are black.,triangle,square,blue,black,purple,orange,0,4,2,2,27283,5,bottom,yes,blue,orange,black,purple,3,5,better,,,,,,,,,,First
27,2,3,140,Each of the squares is orange or black.,triangle,square,purple,blue,orange,black,0,4,3,1,27282,27281,bottom,no,blue,orange,black,purple,2,1,triangle,square,blue,orange,black,purple,0,4,1,3,First
27,2,3,141,Fewer than three  of the triangles are purple.,triangle,square,blue,black,purple,orange,0,4,2,2,27283,5,top,no,blue,orange,black,purple,3,5,better,,,,,,,,,,First
28,1,4,140,Each of the triangles is black or blue.,triangle,square,purple,blue,orange,black,0,4,3,1,27282,27281,top,yes,blue,orange,black,purple,2,1,triangle,square,blue,orange,black,purple,0,4,1,3,First
28,1,4,141,Fewer than three  of the squares are purple.,triangle,square,orange,purple,black,blue,2,2,4,0,27284,5,bottom,yes,blue,orange,black,purple,4,5,better,,,,,,,,,,First
28,2,1,140,Each of the squares is black or purple.,triangle,square,blue,orange,black,purple,0,4,1,3,27281,27282,bottom,no,blue,orange,black,purple,1,2,triangle,square,purple,blue,orange,black,0,4,3,1,First
28,2,1,141,Fewer than three  of the triangles are black.,triangle,square,orange,purple,black,blue,2,2,4,0,27284,5,top,no,blue,orange,black,purple,4,5,better,,,,,,,,,,First
29,1,3,150,Each of the triangles is pink or brown.,triangle,cross,yellow,brown,green,pink,0,4,1,3,29301,29302,top,yes,yellow,brown,green,pink,1,2,triangle,cross,pink,yellow,brown,green,0,4,3,1,First
29,1,3,151,Fewer than three  of the crosses are green.,triangle,cross,yellow,green,pink,brown,0,4,2,2,29303,5,bottom,yes,yellow,brown,green,pink,3,5,better,,,,,,,,,,First
29,2,4,150,Each of the crosses is brown or green.,triangle,cross,pink,yellow,brown,green,0,4,3,1,29302,29301,bottom,no,yellow,brown,green,pink,2,1,triangle,cross,yellow,brown,green,pink,0,4,1,3,First
29,2,4,151,Fewer than three  of the triangles are pink.,triangle,cross,yellow,green,pink,brown,0,4,2,2,29303,5,top,no,yellow,brown,green,pink,3,5,better,,,,,,,,,,First
30,1,1,150,Each of the triangles is green or yellow.,triangle,cross,pink,yellow,brown,green,0,4,3,1,29302,29301,top,yes,yellow,brown,green,pink,2,1,triangle,cross,yellow,brown,green,pink,0,4,1,3,First
30,1,1,151,Fewer than three  of the crosses are pink.,triangle,cross,brown,pink,green,yellow,2,2,4,0,29304,5,bottom,yes,yellow,brown,green,pink,4,5,better,,,,,,,,,,First
30,2,2,150,Each of the crosses is green or pink.,triangle,cross,yellow,brown,green,pink,0,4,1,3,29301,29302,bottom,no,yellow,brown,green,pink,1,2,triangle,cross,pink,yellow,brown,green,0,4,3,1,First
30,2,2,151,Fewer than three  of the triangles are green.,triangle,cross,brown,pink,green,yellow,2,2,4,0,29304,5,top,no,yellow,brown,green,pink,4,5,better,,,,,,,,,,First
31,1,4,160,Each of the hearts is purple or green.,heart,triangle,turquoise,green,grey,purple,0,4,1,3,31321,31322,top,yes,turquoise,green,grey,purple,1,2,heart,triangle,purple,turquoise,green,grey,0,4,3,1,First
31,1,4,161,Fewer than three  of the triangles are grey.,heart,triangle,turquoise,grey,purple,green,0,4,2,2,31323,5,bottom,yes,turquoise,green,grey,purple,3,5,better,,,,,,,,,,First
31,2,1,160,Each of the triangles is green or grey.,heart,triangle,purple,turquoise,green,grey,0,4,3,1,31322,31321,bottom,no,turquoise,green,grey,purple,2,1,heart,triangle,turquoise,green,grey,purple,0,4,1,3,First
31,2,1,161,Fewer than three  of the hearts are purple.,heart,triangle,turquoise,grey,purple,green,0,4,2,2,31323,5,top,no,turquoise,green,grey,purple,3,5,better,,,,,,,,,,First
32,1,2,160,Each of the hearts is grey or turquoise.,heart,triangle,purple,turquoise,green,grey,0,4,3,1,31322,31321,top,yes,turquoise,green,grey,purple,2,1,heart,triangle,turquoise,green,grey,purple,0,4,1,3,First
32,1,2,161,Fewer than three  of the triangles are purple.,heart,triangle,green,purple,grey,turquoise,2,2,4,0,31324,5,bottom,yes,turquoise,green,grey,purple,4,5,better,,,,,,,,,,First
32,2,3,160,Each of the triangles is grey or purple.,heart,triangle,turquoise,green,grey,purple,0,4,1,3,31321,31322,bottom,no,turquoise,green,grey,purple,1,2,heart,triangle,purple,turquoise,green,grey,0,4,3,1,First
32,2,3,161,Fewer than three  of the hearts are grey.,heart,triangle,turquoise,turquoise,turquoise,turquoise,2,2,4,0,31324,5,top,no,turquoise,turquoise,turquoise,turquoise,4,5,better,,,,,,,,,,First
33,1,1,170,Each of the hearts is brown or blue.,heart,square,orange,blue,grey,brown,0,4,1,3,33341,33342,top,yes,orange,blue,grey,brown,1,2,heart,square,brown,orange,blue,grey,0,4,3,1,First
33,1,1,171,Fewer than three  of the squares are grey.,heart,square,orange,grey,brown,blue,0,4,2,2,33343,5,bottom,yes,orange,blue,grey,brown,3,5,better,,,,,,,,,,First
33,2,2,170,Each of the squares is blue or grey.,heart,square,brown,orange,blue,grey,0,4,3,1,33342,33341,bottom,no,orange,blue,grey,brown,2,1,heart,square,orange,blue,grey,brown,0,4,1,3,First
33,2,2,171,Fewer than three  of the hearts are brown.,heart,square,orange,grey,brown,blue,0,4,2,2,33343,5,top,no,orange,blue,grey,brown,3,5,better,,,,,,,,,,First
34,1,3,170,Each of the hearts is grey or orange.,heart,square,brown,orange,blue,grey,0,4,3,1,33342,33341,top,yes,orange,blue,grey,brown,2,1,heart,square,orange,blue,grey,brown,0,4,1,3,First
34,1,3,171,Fewer than three  of the squares are brown.,heart,square,blue,brown,grey,orange,2,2,4,0,33344,5,bottom,yes,orange,blue,grey,brown,4,5,better,,,,,,,,,,First
34,2,4,170,Each of the squares is grey or brown.,heart,square,orange,blue,grey,brown,0,4,1,3,33341,33342,bottom,no,orange,blue,grey,brown,1,2,heart,square,brown,orange,blue,grey,0,4,3,1,First
34,2,4,171,Fewer than three  of the hearts are grey.,heart,square,blue,brown,grey,orange,2,2,4,0,33344,5,top,no,orange,blue,grey,brown,4,5,better,,,,,,,,,,First
35,1,2,180,Each of the hearts is blue or black.,heart,cross,orange,black,purple,blue,0,4,1,3,35361,35362,top,yes,orange,black,purple,blue,1,2,heart,cross,blue,orange,black,purple,0,4,3,1,First
35,1,2,181,Fewer than three  of the crosses are purple.,heart,cross,orange,purple,blue,black,0,4,2,2,35363,5,bottom,yes,orange,black,purple,blue,3,5,better,,,,,,,,,,First
