item,condition,list,position_in_list,sentence,shape_top_1,shape_bottom_1,colour1_top_1,colour2_top_1,colour1_bottom_1,colour2_bottom_1,n_colour1_top_1,n_colour2_top_1,n_colour1_bottom_1,n_colour2_bottom_1,first_picture_label,second_picture_label,position_mentioned_object,zero,color1,color2,color3,color4,picture_type_A,picture_type_B,subexp,subset,correct_card,shape_top_2,shape_bottom_2,colour1_top_2,colour2_top_2,colour1_bottom_2,colour2_bottom_2,n_colour1_top_2,n_colour2_top_2,n_colour1_bottom_2,n_colour2_bottom_2
9,1,1,51,Fewer than three of the squares are brown.,heart,square,blue,brown,orange,grey,0,4,2,2,9103,5,bottom,yes,blue,grey,brown,orange,3,5,rainen,het,Second,better,,,,,,,,,
9,2,2,50,Exactly one square is grey.,heart,square,orange,blue,grey,brown,0,4,1,3,9102,9101,bottom,no,blue,grey,brown,orange,2,1,rainen,het,First,heart,square,blue,grey,brown,orange,0,4,1,3
9,2,2,51,Fewer than three of the hearts are orange.,heart,square,blue,brown,orange,grey,0,4,2,2,9103,5,top,no,blue,grey,brown,orange,3,5,rainen,hom,Second,better,,,,,,,,,
10,1,3,50,There are exactly three brown squares.,heart,square,orange,blue,grey,brown,0,4,1,3,9102,9101,top,yes,blue,grey,brown,orange,2,1,rainen,hom,First,heart,square,blue,grey,brown,orange,0,4,1,3
10,1,3,51,Fewer than three of the squares are orange.,heart,square,grey,orange,brown,blue,2,2,4,0,9104,5,bottom,yes,blue,grey,brown,orange,4,5,rainen,hom,Second,better,,,,,,,,,
10,2,4,50,Exactly four hearts are grey.,heart,square,blue,grey,brown,orange,0,4,1,3,9101,9102,bottom,no,blue,grey,brown,orange,1,2,rainen,het,First,heart,square,orange,blue,grey,brown,0,4,1,3
10,2,4,51,Fewer than three of the hearts are brown.,heart,square,grey,orange,brown,blue,2,2,4,0,9104,5,top,no,blue,grey,brown,orange,4,5,rainen,het,Second,better,,,,,,,,,
12,2,1,60,Exactly one cross is blue and exactly three crosses are orange.,heart,cross,black,purple,blue,orange,0,4,1,3,11121,11122,bottom,no,black,purple,blue,orange,1,2,rainen,het,First,heart,cross,orange,black,purple,blue,0,4,1,3
12,2,1,61,Fewer than three of the hearts are blue.,heart,cross,purple,orange,blue,black,2,2,4,0,11124,5,top,no,black,purple,blue,orange,4,5,rainen,het,Second,better,,,,,,,,,
11,1,2,60,There is exactly one blue cross and exactly three orange crosses.,heart,cross,black,purple,blue,orange,0,4,1,3,11121,11122,top,yes,black,purple,blue,orange,1,2,rainen,hom,First,heart,cross,orange,black,purple,blue,0,4,1,3
11,1,2,61,Fewer than three of the crosses are blue.,heart,cross,black,blue,orange,purple,0,4,2,2,11123,5,bottom,yes,black,purple,blue,orange,3,5,rainen,het,Second,better,,,,,,,,,
11,2,3,60,Exactly three crosses are blue.,heart,cross,orange,black,purple,blue,0,4,1,3,11122,11121,bottom,no,black,purple,blue,orange,2,1,rainen,het,First,heart,cross,black,purple,blue,orange,0,4,1,3
11,2,3,61,Fewer than three of the hearts are orange.,heart,cross,black,blue,orange,purple,0,4,2,2,11123,5,top,no,black,purple,blue,orange,3,5,rainen,hom,Second,better,,,,,,,,,
12,1,4,60,There are exactly three blue crosses.,heart,cross,orange,black,purple,blue,0,4,1,3,11122,11121,top,yes,black,purple,blue,orange,2,1,rainen,hom,First,heart,cross,black,purple,blue,orange,0,4,1,3
12,1,4,61,Fewer than three of the crosses are orange.,heart,cross,purple,orange,blue,black,2,2,4,0,11124,5,bottom,yes,black,purple,blue,orange,4,5,rainen,hom,Second,better,,,,,,,,,
14,1,1,70,Exactly one triangle is pink.,square,triangle,brown,green,pink,yellow,0,4,1,3,13142,13141,top,yes,green,pink,yellow,brown,2,1,rainen,hom,First,square,triangle,green,pink,yellow,brown,0,4,1,3
14,1,1,71,Fewer than three of the triangles are brown.,square,triangle,pink,brown,yellow,green,2,2,4,0,13144,5,bottom,yes,green,pink,yellow,brown,4,5,rainen,hom,Second,better,,,,,,,,,
14,2,2,70,There are exactly four pink squares.,square,triangle,green,pink,yellow,brown,0,4,1,3,13141,13142,bottom,no,green,pink,yellow,brown,1,2,rainen,het,First,square,triangle,brown,green,pink,yellow,0,4,1,3
14,2,2,71,Fewer than three of the squares are yellow.,square,triangle,pink,brown,yellow,green,2,2,4,0,13144,5,top,no,green,pink,yellow,brown,4,5,rainen,het,Second,better,,,,,,,,,
13,1,3,70,There is exactly one yellow triangle.,square,triangle,green,pink,yellow,brown,0,4,1,3,13141,13142,top,yes,green,pink,yellow,brown,1,2,rainen,hom,First,square,triangle,brown,green,pink,yellow,0,4,1,3
13,1,3,71,Fewer than three of the triangles are yellow.,square,triangle,green,yellow,brown,pink,0,4,2,2,13143,5,bottom,yes,green,pink,yellow,brown,3,5,rainen,het,Second,better,,,,,,,,,
13,2,4,70,There is exactly one pink triangle and exactly three yellow triangles.,square,triangle,brown,green,pink,yellow,0,4,1,3,13142,13141,bottom,no,green,pink,yellow,brown,2,1,rainen,het,First,square,triangle,green,pink,yellow,brown,0,4,1,3
13,2,4,71,Fewer than three of the squares are brown.,square,triangle,green,yellow,brown,pink,0,4,2,2,13143,5,top,no,green,pink,yellow,brown,3,5,rainen,hom,Second,better,,,,,,,,,
15,2,1,80,There are exactly three turquoise hearts.,square,heart,green,grey,purple,turquoise,0,4,1,3,15162,15161,bottom,no,grey,purple,turquoise,green,2,1,rainen,het,First,square,heart,grey,purple,turquoise,green,0,4,1,3
15,2,1,81,Fewer than three of the squares are green.,square,heart,grey,turquoise,green,purple,0,4,2,2,15163,5,top,no,grey,purple,turquoise,green,3,5,rainen,hom,Second,better,,,,,,,,,
16,1,2,80,There are exactly three turquoise hearts.,square,heart,green,grey,purple,turquoise,0,4,1,3,15162,15161,top,yes,grey,purple,turquoise,green,2,1,rainen,hom,First,square,heart,grey,purple,turquoise,green,0,4,1,3
16,1,2,81,Fewer than three of the hearts are green.,square,heart,purple,green,turquoise,grey,2,2,4,0,15164,5,bottom,yes,grey,purple,turquoise,green,4,5,rainen,hom,Second,better,,,,,,,,,
16,2,3,80,Exactly one heart is turquoise and exactly four squares are purple.,square,heart,grey,purple,turquoise,green,0,4,1,3,15161,15162,bottom,no,grey,purple,turquoise,green,1,2,rainen,het,First,square,heart,green,grey,purple,turquoise,0,4,1,3
16,2,3,81,Fewer than three of the squares are turquoise.,square,heart,purple,green,turquoise,grey,2,2,4,0,15164,5,top,no,grey,purple,turquoise,green,4,5,rainen,het,Second,better,,,,,,,,,
15,1,4,80,Exactly one heart is turquoise.,square,heart,grey,purple,turquoise,green,0,4,1,3,15161,15162,top,yes,grey,purple,turquoise,green,1,2,rainen,hom,First,square,heart,green,grey,purple,turquoise,0,4,1,3
15,1,4,81,Fewer than three of the hearts are turquoise.,square,heart,grey,turquoise,green,purple,0,4,2,2,15163,5,bottom,yes,grey,purple,turquoise,green,3,5,rainen,het,Second,better,,,,,,,,,
17,1,1,90,Exactly four squares are brown.,square,cross,grey,brown,orange,blue,0,4,1,3,17181,17182,top,yes,grey,brown,orange,blue,1,2,rainen,hom,First,square,cross,blue,grey,brown,orange,0,4,1,3
17,1,1,91,Fewer than three of the crosses are orange.,square,cross,grey,orange,blue,brown,0,4,2,2,17183,5,bottom,yes,grey,brown,orange,blue,3,5,rainen,het,Second,better,,,,,,,,,
17,2,2,90,There is exactly one brown cross.,square,cross,blue,grey,brown,orange,0,4,1,3,17182,17181,bottom,no,grey,brown,orange,blue,2,1,rainen,het,First,square,cross,grey,brown,orange,blue,0,4,1,3
17,2,2,91,Fewer than three of the squares are blue.,square,cross,grey,orange,blue,brown,0,4,2,2,17183,5,top,no,grey,brown,orange,blue,3,5,rainen,hom,Second,better,,,,,,,,,
18,1,3,90,Exactly four squares are grey and exactly one cross is brown.,square,cross,blue,grey,brown,orange,0,4,1,3,17182,17181,top,yes,grey,brown,orange,blue,2,1,rainen,hom,First,square,cross,grey,brown,orange,blue,0,4,1,3
18,1,3,91,Fewer than three of the crosses are blue.,square,cross,brown,blue,orange,grey,2,2,4,0,17184,5,bottom,yes,grey,brown,orange,blue,4,5,rainen,hom,Second,better,,,,,,,,,
18,2,4,90,Exactly one cross is orange.,square,cross,grey,brown,orange,blue,0,4,1,3,17181,17182,bottom,no,grey,brown,orange,blue,1,2,rainen,het,First,square,cross,blue,grey,brown,orange,0,4,1,3
18,2,4,91,Fewer than three of the squares are orange.,square,cross,brown,blue,orange,grey,2,2,4,0,17184,5,top,no,grey,brown,orange,blue,4,5,rainen,het,Second,better,,,,,,,,,
20,2,1,100,Exactly one triangle is orange and exactly four crosses are blue.,cross,triangle,purple,blue,orange,black,0,4,1,3,19201,19202,bottom,no,purple,blue,orange,black,1,2,rainen,het,First,cross,triangle,black,purple,blue,orange,0,4,1,3
20,2,1,101,Fewer than three of the crosses are orange.,cross,triangle,blue,black,orange,purple,2,2,4,0,19204,5,top,no,purple,blue,orange,black,4,5,rainen,het,Second,better,,,,,,,,,
19,1,2,100,There is exactly one orange triangle and exactly three black triangles.,cross,triangle,purple,blue,orange,black,0,4,1,3,19201,19202,top,yes,purple,blue,orange,black,1,2,rainen,hom,First,cross,triangle,black,purple,blue,orange,0,4,1,3
19,1,2,101,Fewer than three of the triangles are orange.,cross,triangle,purple,orange,black,blue,0,4,2,2,19203,5,bottom,yes,purple,blue,orange,black,3,5,rainen,het,Second,better,,,,,,,,,
19,2,3,100,There are exactly three orange triangles and exactly one blue triangle.,cross,triangle,black,purple,blue,orange,0,4,1,3,19202,19201,bottom,no,purple,blue,orange,black,2,1,rainen,het,First,cross,triangle,purple,blue,orange,black,0,4,1,3
19,2,3,101,Fewer than three of the crosses are black.,cross,triangle,purple,orange,black,blue,0,4,2,2,19203,5,top,no,purple,blue,orange,black,3,5,rainen,hom,Second,better,,,,,,,,,
20,1,4,100,Exactly one triangle is blue.,cross,triangle,black,purple,blue,orange,0,4,1,3,19202,19201,top,yes,purple,blue,orange,black,2,1,rainen,hom,First,cross,triangle,purple,blue,orange,black,0,4,1,3
20,1,4,101,Fewer than three of the triangles are black.,cross,triangle,blue,black,orange,purple,2,2,4,0,19204,5,bottom,yes,purple,blue,orange,black,4,5,rainen,hom,Second,better,,,,,,,,,
22,1,1,110,There are exactly three brown hearts.,cross,heart,green,pink,yellow,brown,0,4,1,3,21222,21221,top,yes,pink,yellow,brown,green,2,1,rainen,hom,First,cross,heart,pink,yellow,brown,green,0,4,1,3
22,1,1,111,Fewer than three of the hearts are green.,cross,heart,yellow,green,brown,pink,2,2,4,0,21224,5,bottom,yes,pink,yellow,brown,green,4,5,rainen,hom,Second,better,,,,,,,,,
22,2,2,110,Exactly four crosses are yellow.,cross,heart,pink,yellow,brown,green,0,4,1,3,21221,21222,bottom,no,pink,yellow,brown,green,1,2,rainen,het,First,cross,heart,green,pink,yellow,brown,0,4,1,3
22,2,2,111,Fewer than three of the crosses are brown.,cross,heart,yellow,green,brown,pink,2,2,4,0,21224,5,top,no,pink,yellow,brown,green,4,5,rainen,het,Second,better,,,,,,,,,
21,1,3,110,There are exactly three green hearts.,cross,heart,pink,yellow,brown,green,0,4,1,3,21221,21222,top,yes,pink,yellow,brown,green,1,2,rainen,hom,First,cross,heart,green,pink,yellow,brown,0,4,1,3
21,1,3,111,Fewer than three of the hearts are brown.,cross,heart,pink,brown,green,yellow,0,4,2,2,21223,5,bottom,yes,pink,yellow,brown,green,3,5,rainen,het,Second,better,,,,,,,,,
21,2,4,110,Exactly four crosses are pink.,cross,heart,green,pink,yellow,brown,0,4,1,3,21222,21221,bottom,no,pink,yellow,brown,green,2,1,rainen,het,First,cross,heart,pink,yellow,brown,green,0,4,1,3
21,2,4,111,Fewer than three of the crosses are green.,cross,heart,pink,brown,green,yellow,0,4,2,2,21223,5,top,no,pink,yellow,brown,green,3,5,rainen,hom,Second,better,,,,,,,,,
23,2,1,120,Exactly one square is turquoise.,cross,square,grey,purple,turquoise,green,0,4,1,3,23242,23241,bottom,no,purple,turquoise,green,grey,2,1,rainen,het,First,cross,square,purple,turquoise,green,grey,0,4,1,3
23,2,1,121,Fewer than three of the crosses are grey.,cross,square,purple,green,grey,turquoise,0,4,2,2,23243,5,top,no,purple,turquoise,green,grey,3,5,rainen,hom,Second,better,,,,,,,,,
24,1,2,120,Exactly one square is turquoise and exactly four crosses are purple.,cross,square,grey,purple,turquoise,green,0,4,1,3,23242,23241,top,yes,purple,turquoise,green,grey,2,1,rainen,hom,First,cross,square,purple,turquoise,green,grey,0,4,1,3
24,1,2,121,Fewer than three of the squares are grey.,cross,square,turquoise,grey,green,purple,2,2,4,0,23244,5,bottom,yes,purple,turquoise,green,grey,4,5,rainen,hom,Second,better,,,,,,,,,
24,2,3,120,There are exactly four turquoise crosses and exactly one green square.,cross,square,purple,turquoise,green,grey,0,4,1,3,23241,23242,bottom,no,purple,turquoise,green,grey,1,2,rainen,het,First,cross,square,grey,purple,turquoise,green,0,4,1,3
24,2,3,121,Fewer than three of the crosses are green.,cross,square,turquoise,grey,green,purple,2,2,4,0,23244,5,top,no,purple,turquoise,green,grey,4,5,rainen,het,Second,better,,,,,,,,,
23,1,4,120,Exactly four crosses are turquoise and exactly one square is green.,cross,square,purple,turquoise,green,grey,0,4,1,3,23241,23242,top,yes,purple,turquoise,green,grey,1,2,rainen,hom,First,cross,square,grey,purple,turquoise,green,0,4,1,3
23,1,4,121,Fewer than three of the squares are green.,cross,square,purple,green,grey,turquoise,0,4,2,2,23243,5,bottom,yes,purple,turquoise,green,grey,3,5,rainen,het,Second,better,,,,,,,,,
25,1,1,130,Exactly four triangles are orange.,triangle,heart,brown,orange,blue,grey,0,4,1,3,25261,25262,top,yes,brown,orange,blue,grey,1,2,rainen,hom,First,triangle,heart,grey,brown,orange,blue,0,4,1,3
25,1,1,131,Fewer than three of the hearts are blue.,triangle,heart,brown,blue,grey,orange,0,4,2,2,25263,5,bottom,yes,brown,orange,blue,grey,3,5,rainen,het,Second,better,,,,,,,,,
25,2,2,130,Exactly one heart is orange.,triangle,heart,grey,brown,orange,blue,0,4,1,3,25262,25261,bottom,no,brown,orange,blue,grey,2,1,rainen,het,First,triangle,heart,brown,orange,blue,grey,0,4,1,3
25,2,2,131,Fewer than three of the triangles are grey.,triangle,heart,brown,blue,grey,orange,0,4,2,2,25263,5,top,no,brown,orange,blue,grey,3,5,rainen,hom,Second,better,,,,,,,,,
26,1,3,130,Exactly three hearts are blue and exactly one heart is orange.,triangle,heart,grey,brown,orange,blue,0,4,1,3,25262,25261,top,yes,brown,orange,blue,grey,2,1,rainen,hom,First,triangle,heart,brown,orange,blue,grey,0,4,1,3
26,1,3,131,Fewer than three of the hearts are grey.,triangle,heart,orange,grey,blue,brown,2,2,4,0,25264,5,bottom,yes,brown,orange,blue,grey,4,5,rainen,hom,Second,better,,,,,,,,,
26,2,4,130,There are exactly four orange triangles and exactly one blue heart.,triangle,heart,brown,orange,blue,grey,0,4,1,3,25261,25262,bottom,no,brown,orange,blue,grey,1,2,rainen,het,First,triangle,heart,grey,brown,orange,blue,0,4,1,3
26,2,4,131,Fewer than three of the triangles are blue.,triangle,heart,orange,grey,blue,brown,2,2,4,0,25264,5,top,no,brown,orange,blue,grey,4,5,rainen,het,Second,better,,,,,,,,,
28,2,1,140,There is exactly one black square and exactly three purple squares.,triangle,square,blue,orange,black,purple,0,4,1,3,27281,27282,bottom,no,blue,orange,black,purple,1,2,rainen,het,First,triangle,square,purple,blue,orange,black,0,4,1,3
28,2,1,141,Fewer than three of the triangles are black.,triangle,square,orange,purple,black,blue,2,2,4,0,27284,5,top,no,blue,orange,black,purple,4,5,rainen,het,Second,better,,,,,,,,,
27,1,2,140,Exactly three squares are purple.,triangle,square,blue,orange,black,purple,0,4,1,3,27281,27282,top,yes,blue,orange,black,purple,1,2,rainen,hom,First,triangle,square,purple,blue,orange,black,0,4,1,3
27,1,2,141,Fewer than three of the squares are black.,triangle,square,blue,black,purple,orange,0,4,2,2,27283,5,bottom,yes,blue,orange,black,purple,3,5,rainen,het,Second,better,,,,,,,,,
27,2,3,140,Exactly one square is orange and exactly three squares are black.,triangle,square,purple,blue,orange,black,0,4,1,3,27282,27281,bottom,no,blue,orange,black,purple,2,1,rainen,het,First,triangle,square,blue,orange,black,purple,0,4,1,3
27,2,3,141,Fewer than three of the triangles are purple.,triangle,square,blue,black,purple,orange,0,4,2,2,27283,5,top,no,blue,orange,black,purple,3,5,rainen,hom,Second,better,,,,,,,,,
28,1,4,140,There are exactly four blue triangles and exactly three black squares.,triangle,square,purple,blue,orange,black,0,4,1,3,27282,27281,top,yes,blue,orange,black,purple,2,1,rainen,hom,First,triangle,square,blue,orange,black,purple,0,4,1,3
28,1,4,141,Fewer than three of the squares are purple.,triangle,square,orange,purple,black,blue,2,2,4,0,27284,5,bottom,yes,blue,orange,black,purple,4,5,rainen,hom,Second,better,,,,,,,,,
30,1,1,150,Exactly one cross is brown.,triangle,cross,pink,yellow,brown,green,0,4,1,3,29302,29301,top,yes,yellow,brown,green,pink,2,1,rainen,hom,First,triangle,cross,yellow,brown,green,pink,0,4,1,3
30,1,1,151,Fewer than three of the crosses are pink.,triangle,cross,brown,pink,green,yellow,2,2,4,0,29304,5,bottom,yes,yellow,brown,green,pink,4,5,rainen,hom,Second,better,,,,,,,,,
30,2,2,150,Exactly four triangles are brown.,triangle,cross,yellow,brown,green,pink,0,4,1,3,29301,29302,bottom,no,yellow,brown,green,pink,1,2,rainen,het,First,triangle,cross,pink,yellow,brown,green,0,4,1,3
30,2,2,151,Fewer than three of the triangles are green.,triangle,cross,brown,pink,green,yellow,2,2,4,0,29304,5,top,no,yellow,brown,green,pink,4,5,rainen,het,Second,better,,,,,,,,,
29,1,3,150,Exactly one cross is green and exactly three crosses are pink.,triangle,cross,yellow,brown,green,pink,0,4,1,3,29301,29302,top,yes,yellow,brown,green,pink,1,2,rainen,hom,First,triangle,cross,pink,yellow,brown,green,0,4,1,3
29,1,3,151,Fewer than three of the crosses are green.,triangle,cross,yellow,green,pink,brown,0,4,2,2,29303,5,bottom,yes,yellow,brown,green,pink,3,5,rainen,het,Second,better,,,,,,,,,
29,2,4,150,Exactly one cross is brown and exactly four triangles are yellow.,triangle,cross,pink,yellow,brown,green,0,4,1,3,29302,29301,bottom,no,yellow,brown,green,pink,2,1,rainen,het,First,triangle,cross,yellow,brown,green,pink,0,4,1,3
29,2,4,151,Fewer than three of the triangles are pink.,triangle,cross,yellow,green,pink,brown,0,4,2,2,29303,5,top,no,yellow,brown,green,pink,3,5,rainen,hom,Second,better,,,,,,,,,
31,2,1,160,There are exactly four turquoise hearts and exactly one green triangle.,heart,triangle,purple,turquoise,green,grey,0,4,1,3,31322,31321,bottom,no,turquoise,green,grey,purple,2,1,rainen,het,First,heart,triangle,turquoise,green,grey,purple,0,4,1,3
31,2,1,161,Fewer than three of the hearts are purple.,heart,triangle,turquoise,grey,purple,green,0,4,2,2,31323,5,top,no,turquoise,green,grey,purple,3,5,rainen,hom,Second,better,,,,,,,,,
32,1,2,160,Exactly one triangle is green and exactly three triangles are grey.,heart,triangle,purple,turquoise,green,grey,0,4,1,3,31322,31321,top,yes,turquoise,green,grey,purple,2,1,rainen,hom,First,heart,triangle,turquoise,green,grey,purple,0,4,1,3
32,1,2,161,Fewer than three of the triangles are purple.,heart,triangle,green,purple,grey,turquoise,2,2,4,0,31324,5,bottom,yes,turquoise,green,grey,purple,4,5,rainen,hom,Second,better,,,,,,,,,
32,2,3,160,Exactly one triangle is grey.,heart,triangle,turquoise,green,grey,purple,0,4,1,3,31321,31322,bottom,no,turquoise,green,grey,purple,1,2,rainen,het,First,heart,triangle,purple,turquoise,green,grey,0,4,1,3
32,2,3,161,Fewer than three of the hearts are grey.,heart,triangle,turquoise,turquoise,turquoise,turquoise,2,2,4,0,31324,5,top,no,turquoise,turquoise,turquoise,turquoise,4,5,rainen,het,Second,better,,,,,,,,,
31,1,4,160,Exactly three triangles are purple and exactly one triangle is grey.,heart,triangle,turquoise,green,grey,purple,0,4,1,3,31321,31322,top,yes,turquoise,green,grey,purple,1,2,rainen,hom,First,heart,triangle,purple,turquoise,green,grey,0,4,1,3
